artist,artist_id,artist_pop,artist_genres,album,album_id,track_name,track_id,track_pop,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist,user,artists_song
Lewis Ross,7H1Mw1I4p9sTGTtbGCj8E3,25.0,[unknown],This Town,0CsJHZEdJuNwJ9ZjAmYRrU,This Town,5qQWWS76LlgDxuVH2H1o2O,9.0,0.416,0.254,6.0,-9.18,1.0,0.0287,0.897,6.86e-05,0.108,0.2,67.005,201429.0,4.0,"Sad Indie Songs 😢 | alexrainbirdMusic (Folk, Pop, Chill)",alexrainbirdMusic,Lewis RossThis Town
Terrible Sons,3eaJ1prUilN6z7yoFx9u2g,27.0,[nz pop],What a Friend,0Ifzwj3sggfyznKjS4ucmN,What a Friend,2SylVwJvWahjiReLKiq3Bt,0.0,0.673,0.19,8.0,-16.548,1.0,0.0334,0.868,0.0177,0.12,0.286,112.357,238532.0,4.0,"Sad Indie Songs 😢 | alexrainbirdMusic (Folk, Pop, Chill)",alexrainbirdMusic,Terrible SonsWhat a Friend
Wild Rivers,59sBwR0jPSTrbMtuTkRPN5,68.0,"[folk-pop, indie folk, indiecoustica, neo mellow, stomp and holler]",Love Gone Wrong,2y0LnZGWcOLaHhzLpSMjHR,Love Gone Wrong,5N0G5cRxTO7zP2c0pREZbw,0.0,0.44,0.417,0.0,-5.586,1.0,0.0324,0.681,0.0,0.0897,0.222,77.846,160120.0,3.0,"Sad Indie Songs 😢 | alexrainbirdMusic (Folk, Pop, Chill)",alexrainbirdMusic,Wild RiversLove Gone Wrong
The Collection,3sva1UjOJOx6cGISZOpItl,48.0,"[indiecoustica, stomp and holler]",Blue Day,5GCURCfm1GOmFbZqrRrXYK,Blue Day,43tuECQwEq3vnc3vxWmD4V,0.0,0.696,0.198,7.0,-11.415,1.0,0.0328,0.891,1.01e-06,0.107,0.422,146.183,214321.0,4.0,"Sad Indie Songs 😢 | alexrainbirdMusic (Folk, Pop, Chill)",alexrainbirdMusic,The CollectionBlue Day
Jordan Hart,2NuHJNDBd9Vq4k09qrXibo,49.0,[modern indie folk],Only Pieces of the Truth,3FJAo9RwlCuoi046GQZIcH,Only Pieces of the Truth,3fbtZVi3mfFASjkOKKJRDs,9.0,0.486,0.361,5.0,-10.0,1.0,0.0391,0.728,0.0,0.0909,0.274,126.904,262959.0,4.0,"Sad Indie Songs 😢 | alexrainbirdMusic (Folk, Pop, Chill)",alexrainbirdMusic,Jordan HartOnly Pieces of the Truth
Connor McCoy,0hZp2eHBrW8U5gnbWCIlaL,12.0,[unknown],Feel Like a Failure (Acoustic),2cR1KohFRNDy2Ri5SMWKnh,Feel Like a Failure (Acoustic),5xTYTLg67UCignTjMqHAer,3.0,0.487,0.16,7.0,-13.021,1.0,0.0361,0.927,2.59e-06,0.138,0.329,103.801,229316.0,3.0,"Sad Indie Songs 😢 | alexrainbirdMusic (Folk, Pop, Chill)",alexrainbirdMusic,Connor McCoyFeel Like a Failure (Acoustic)
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie/Pop/Folk Compilation - June 2021,2nGNB8p3Oep5bNuriBTBxp,Colour,45TY2PWrL1XiuCkdbd5S1J,0.0,0.598,0.534,11.0,-10.514,0.0,0.0327,0.244,0.075,0.103,0.195,120.026,215093.0,4.0,"Sad Indie Songs 😢 | alexrainbirdMusic (Folk, Pop, Chill)",alexrainbirdMusic,Various ArtistsColour
Lewis Ross,7H1Mw1I4p9sTGTtbGCj8E3,25.0,[unknown],Short Sighted,1DWjS1BFUwomgoJErC02Bu,Short Sighted,25hKDHLSeH6M4J47pMXu9T,26.0,0.286,0.288,0.0,-12.423,1.0,0.0311,0.89,0.00631,0.419,0.186,96.688,220720.0,1.0,"Sad Indie Songs 😢 | alexrainbirdMusic (Folk, Pop, Chill)",alexrainbirdMusic,Lewis RossShort Sighted
Cody Francis,1RKbW3DVPPhWHNfParfJ32,52.0,[unknown],you're never coming back,41oLM18WL1JpKQU8WpykKr,you're never coming back,5sgU3KK8oGRBB7SHbnGld2,24.0,0.75,0.415,8.0,-13.231,1.0,0.0439,0.51,0.179,0.167,0.433,139.993,187714.0,4.0,"Sad Indie Songs 😢 | alexrainbirdMusic (Folk, Pop, Chill)",alexrainbirdMusic,Cody Francisyou're never coming back
Ed Patrick,3LE4OOntA2Yq3x1TTuQURx,47.0,"[indie anthem-folk, indie folk, indiecoustica]",Nothing Personal,72VSJGK7bbTaLpr4BajenS,Nothing Personal,74j1zzYiEeDgaCh37XqaAI,33.0,0.664,0.264,5.0,-14.999,1.0,0.071,0.81,0.0109,0.107,0.448,77.988,147031.0,4.0,"Sad Indie Songs 😢 | alexrainbirdMusic (Folk, Pop, Chill)",alexrainbirdMusic,Ed PatrickNothing Personal
Joey Knight,7kUaQMxJ7CtvpAGY1xwpjF,14.0,[unknown],let u go,3sagHA1KN43sSe8fG9V8M9,let u go,0npPKeQJuyHBePPaUi6H2u,10.0,0.492,0.326,7.0,-14.106,1.0,0.0421,0.68,0.000776,0.178,0.514,111.944,190827.0,4.0,"Sad Indie Songs 😢 | alexrainbirdMusic (Folk, Pop, Chill)",alexrainbirdMusic,Joey Knightlet u go
The Paper Kites,79hrYiudVcFyyxyJW0ipTy,70.0,"[australian indie folk, indie folk, stomp and holler]",Deep Burn Blue,2NQGwzCtQhcAHJQllC3ZAM,Deep Burn Blue,6cCNuADa39yLz4HBLqvjZL,0.0,0.556,0.81,9.0,-5.972,0.0,0.0336,0.325,0.623,0.13,0.158,110.011,279480.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,The Paper KitesDeep Burn Blue
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Pop / Folk Compilation - June 2018,53QSHiUCVBcHhc8CJreroE,Prisoner,0KNFTwYwEFNrUgTsyqZytu,0.0,0.502,0.463,0.0,-9.044,1.0,0.0297,0.181,0.0,0.0814,0.106,83.029,203163.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsPrisoner
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock / Alt Compilation - September 2018,3i4qtMU0js3GkElaPGvBzk,Criminals,4UxMO0kQYhm71KPV6Zn3Bq,0.0,0.778,0.716,4.0,-7.346,1.0,0.0409,0.409,0.0367,0.0831,0.888,133.983,226275.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsCriminals
Mitch King,3uLGsJTJFVMtQVRs5tivzg,31.0,[australian indie folk],Believe,22TiO5YSPBc62Uq9ylkyZU,Believe,4nY5c705t3fNKHvxQ346yR,22.0,0.463,0.545,2.0,-7.691,1.0,0.0286,0.224,6.45e-06,0.0969,0.291,139.935,238428.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Mitch KingBelieve
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock / Alt Compilation - September 2018,3i4qtMU0js3GkElaPGvBzk,W / O U,3KYS1EebvyH5lLXu02pWo7,0.0,0.618,0.675,0.0,-8.346,1.0,0.0284,0.251,3.38e-06,0.163,0.372,104.987,197721.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsW / O U
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock / Alt Compilation - September 2018,3i4qtMU0js3GkElaPGvBzk,Desperate Weather,0B141KYZGlEineEsaZOqw4,0.0,0.3,0.821,2.0,-4.052,1.0,0.0333,0.00899,0.000328,0.326,0.372,179.642,235701.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsDesperate Weather
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Pop / Folk Compilation - September 2018,7GWww5RpiBWTMXsk4QIMbr,Pulse,7IAHA68EQGmOk1O8NaPdud,0.0,0.402,0.5,9.0,-8.389,1.0,0.0375,0.552,0.001,0.111,0.103,139.879,226286.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsPulse
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock / Alt Compilation - September 2018,3i4qtMU0js3GkElaPGvBzk,What Are You Waiting For,3Ewz6GOm6PPEZohs0g4Baq,0.0,0.534,0.713,1.0,-6.217,1.0,0.0357,0.00629,0.00188,0.079,0.291,122.105,199560.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsWhat Are You Waiting For
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Pop / Folk Compilation - August 2018,4RgFQM4mi8qLEgdXteH9Jn,Swallow,5od4fKuHVbWFpxdIWUgEDG,0.0,0.479,0.345,2.0,-11.695,1.0,0.0319,0.545,0.00276,0.26,0.263,77.889,221534.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsSwallow
Riley Pearce,0A3HlWZGV8WrCcqxKM2neg,52.0,"[australian singer-songwriter, indie anthem-folk, indie folk]",Eastbound,7uGWos30ZPNjMVSmRSjT2u,Eastbound,3ZwnfYdQwbqbyP72MYZspA,0.0,0.502,0.511,4.0,-10.441,1.0,0.0453,0.309,0.00493,0.0798,0.347,124.182,244518.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Riley PearceEastbound
The Paper Kites,79hrYiudVcFyyxyJW0ipTy,70.0,"[australian indie folk, indie folk, stomp and holler]",On the Corner Where You Live,2vUmvAnrPvFWN1dz34nC1O,"Give Me Your Fire, Give Me Your Rain",5AeaDGmGh1k7GaoVXLmYNl,0.0,0.526,0.654,2.0,-4.403,1.0,0.0328,0.123,0.0845,0.248,0.741,78.02,212200.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,"The Paper KitesGive Me Your Fire, Give Me Your Rain"
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie/Rock/Alt Compilation (November 2018),3QfVIs4ar2KYu1KSArAryN,Dying in the Heat,1cHO2dU1iasO6E22WNhioj,0.0,0.57,0.799,11.0,-6.883,0.0,0.0594,0.117,0.00021,0.131,0.188,137.005,178382.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsDying in the Heat
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Pop/ Folk Compilation (December 2018),7ff3QWCJBrlAgBz9bcJRvw,Drive,4gdOb3sWummG8EDXklvaRL,0.0,0.53,0.445,4.0,-9.062,0.0,0.0313,0.0328,0.00388,0.0931,0.0718,120.035,216573.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsDrive
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock / Alt Compilation (December 2018),0OqbpfP5cEsySRZwC3UvMr,Challenger,0sZbn5ROn29ACbfQP1dNzf,0.0,0.661,0.629,8.0,-7.795,0.0,0.0435,0.198,0.205,0.311,0.291,125.019,223087.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsChallenger
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock / Alt Compilation (December 2018),0OqbpfP5cEsySRZwC3UvMr,Stay,0VYMclHndUWM1Lyf1HAMAz,0.0,0.47,0.745,1.0,-6.438,1.0,0.0281,0.00415,0.891,0.222,0.077,110.979,194701.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsStay
Sid Sriram,7qjJw7ZM2ekDSahLXPjIlN,79.0,[filmi],It Isn't True,0Jf3ik8EBMzqAs9kfEfli1,It Isn't True,41sEwSqWaTv2ej0GgRrV6C,0.0,0.347,0.196,9.0,-12.802,1.0,0.0322,0.953,0.0354,0.198,0.0831,110.66,187562.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Sid SriramIt Isn't True
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock / Alt Compilation (February 2019),0trbztsQBkNcziqTgiTQmB,1984,1EZaVpAnKWLv9gurWmYTzk,0.0,0.556,0.651,11.0,-8.183,1.0,0.0313,0.0414,0.000104,0.224,0.361,102.966,250534.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various Artists1984
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Pop / Folk Compilation (March 2019),7C6dUgvLdjVn6yMPWK0oGt,Follow You,5Tw9h6nLTTv9qeOCFzQXEK,0.0,0.462,0.372,4.0,-8.606,1.0,0.0561,0.838,0.000578,0.0987,0.275,85.634,172308.0,3.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsFollow You
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock/ Alt Compilation (March 2019),1v6r3dJGHHxNVuc7227uqQ,Electric Love,0IOgos0MFnJS2ECqxVBvIu,0.0,0.51,0.49,4.0,-8.477,1.0,0.028,0.597,0.0128,0.141,0.392,142.039,226960.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsElectric Love
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock/ Alt Compilation (March 2019),1v6r3dJGHHxNVuc7227uqQ,More Than Physical,2n0yZS9n69swBcWSdvfBV3,0.0,0.571,0.547,0.0,-8.099,1.0,0.0376,0.00484,0.000162,0.0881,0.174,109.967,188837.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsMore Than Physical
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock/ Alt Compilation (March 2019),1v6r3dJGHHxNVuc7227uqQ,In My Head,0CuUMtg51tH9LrmmsUJUBi,0.0,0.655,0.52,8.0,-7.232,1.0,0.0352,0.0838,0.000487,0.0793,0.235,139.902,239680.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsIn My Head
Michael Benjamin,2EczmcWYFrGxMwxxjNbc6r,30.0,[swiss pop],The Night Is Still Young,5BIAqy229gjsAjkLtpahJd,The Night Is Still Young,1pQEMm12Jhu2CHxaPya459,0.0,0.612,0.364,7.0,-10.576,0.0,0.0293,0.213,0.0556,0.0961,0.258,78.035,210849.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Michael BenjaminThe Night Is Still Young
Patrick James,02rbtsxmzmlWKtEZ4DLZr8,31.0,"[australian indie, australian indie folk]",UP,7FRI6jDoZ5r53z4VPx3bEb,UP,1iRDVLfjxUmkkGG1LIunTp,0.0,0.771,0.542,11.0,-6.362,1.0,0.0429,0.319,0.0,0.082,0.566,106.958,178800.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Patrick JamesUP
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock / Alt Compilation (April 2019),15ZUFKeBVJKpUQG0T0y3aJ,Fool for You,2rEqH7SRyZzIXeff2bzQZl,0.0,0.615,0.632,11.0,-6.96,1.0,0.0268,0.102,0.0347,0.122,0.332,106.004,213408.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsFool for You
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Pop/ Folk Compilation (May 2019),6l055L6FVeSYtxeVYBBPkx,Build a Bridge,1l2AHEIK9WD77KWnc8hgNK,0.0,0.685,0.379,10.0,-13.836,1.0,0.0314,0.809,0.695,0.111,0.111,127.953,235747.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsBuild a Bridge
NIGHT TRAVELER,1Yybte8g5co6ZQaFZdhMQH,40.0,[hopebeat],1984 (Native),3ILmuuwiUaXJFsvKi46PMm,1984 (Native),2QtsM44fgxUin18RNs7OIB,0.0,0.469,0.299,11.0,-10.041,1.0,0.0291,0.942,0.000106,0.0922,0.207,95.969,263126.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,NIGHT TRAVELER1984 (Native)
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock /Alt Compilation (June 2019),1Vohy8PeKNm6jQ0CfMR4dk,Foreign Language,3ajOwE4eXOICd5d4EHYO8V,0.0,0.509,0.887,10.0,-5.459,1.0,0.0451,0.00518,0.778,0.141,0.634,85.006,260435.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsForeign Language
Talu,61vd6CezXHQonUaIe2EJQ3,2.0,[unknown],"All Night, Alright",3XQam2zk3jkUFpCEQ2tCq5,"All Night, Alright",7me1DJwHo0Jdylg9qZCB66,6.0,0.648,0.793,1.0,-7.64,1.0,0.0275,0.0752,0.416,0.284,0.578,103.01,204100.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,"TaluAll Night, Alright"
Emma McGrath,3PZyI7b9LfYnS0QU827W8z,30.0,[uk pop],Other Side,1sV88MY4uepjGcoNyhHCv5,Other Side,1d9QFEAXThZVyzEiFqAHBC,0.0,0.614,0.732,11.0,-6.759,1.0,0.0502,0.0282,0.0,0.0966,0.714,111.953,172453.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Emma McGrathOther Side
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock / Alt Compilation (August 2019),5dMT9qdhvsbZbfIq9sVSA0,Side by Side,3wHk0wekGEexVJ6QSJs87I,0.0,0.592,0.62,2.0,-8.047,1.0,0.0353,0.00726,0.00677,0.141,0.529,84.004,291976.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsSide by Side
Arctic Lake,0IEPb9ily3E5IAYMSkwtQ6,56.0,"[vapor pop, vapor soul]",Shed a Tear,1TSHqmT9RYcNrb4WEa40Z9,Shed a Tear,7EWUpWLJpzqSFANEDgqhjw,0.0,0.639,0.438,0.0,-9.747,1.0,0.0464,0.616,2.77e-05,0.077,0.17,134.852,223807.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Arctic LakeShed a Tear
The Franklin Electric,6LLYwvo2N1nDcUvyw9XPGN,51.0,"[canadian indie folk, indie quebecois]",In Your Head,1e5evU5HlfDXbT347PJLJC,My Home,2Ux9ANA4Bai67slkgk5iPM,0.0,0.489,0.716,11.0,-7.675,1.0,0.0521,0.233,0.000385,0.278,0.433,160.006,233389.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,The Franklin ElectricMy Home
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Pop / Folk Compilation (January 2020),1EUzQ6hYvXyihZ0DsNj2BS,Ancoats Junction,3DEo3dKVZLKkNMuGZfveNz,0.0,0.743,0.481,1.0,-7.219,1.0,0.0525,0.777,0.0125,0.11,0.435,122.046,223279.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsAncoats Junction
Oliver Spalding,5frAewPTBYCZG4zUY1AQXD,10.0,[unknown],Novemberism,3WYnTv3f6k6qSOiD7ymbWr,Xanax,0dkqgX01SD5fWEMMmC4WCe,8.0,0.613,0.507,1.0,-8.712,1.0,0.0352,0.655,0.00226,0.19,0.159,125.983,186080.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Oliver SpaldingXanax
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock / Alt Compilation (February 2020),2LzTtVjnK1YrqGCDLYXk3m,Cousin,6fMblmj6nbvXLqQxn56tLF,0.0,0.372,0.439,1.0,-8.664,1.0,0.0317,0.787,0.0603,0.0814,0.0554,74.48,284200.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsCousin
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock / Alt Compilation (February 2020),2LzTtVjnK1YrqGCDLYXk3m,You're Okay,4q4h2C93TPPUr6KEm6IQBG,0.0,0.556,0.466,11.0,-12.654,1.0,0.041,0.244,0.646,0.075,0.326,88.515,339534.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsYou're Okay
Axel Flóvent,6jn7W8NuX94FWZyeGlyCaJ,54.0,"[acoustic pop, icelandic folk, icelandic indie, indie anthem-folk, indie folk]",Driving Hours,6R5GgolIDIgOUCdMcvTaY3,Driving Hours,1cVzPikyQLpB39i5Gn6Ftv,0.0,0.561,0.379,10.0,-10.915,0.0,0.031,0.683,0.000676,0.155,0.215,140.206,227010.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Axel FlóventDriving Hours
Little Dume,0FNLTSzwVeV9mcsOYSCVbp,26.0,[unknown],Halo,3575lVl40y1w3pZpUl1FpM,Halo,0akYuLgliOQ88GUMEo6ImI,19.0,0.575,0.535,6.0,-5.947,0.0,0.0297,0.0879,0.0,0.153,0.0739,126.078,199048.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Little DumeHalo
NIGHT TRAVELER,1Yybte8g5co6ZQaFZdhMQH,40.0,[hopebeat],Native Nights,3DV4GjZ7aj4Pd2BgifyeWM,Burn (Native),2JByX6wBCsShkfu8ptVF0z,0.0,0.396,0.214,1.0,-13.489,1.0,0.0315,0.879,2.24e-05,0.102,0.136,86.545,223215.0,3.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,NIGHT TRAVELERBurn (Native)
Berlue,23AyLrq18LhJG61d8EjSRY,26.0,[unknown],Always,445rxX35Qf1ivXSmBhmwuJ,Always,5fAimoWXDhY7yRlX6OT5J8,8.0,0.711,0.579,11.0,-8.132,1.0,0.0372,0.166,1.14e-05,0.0994,0.767,110.008,231595.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,BerlueAlways
Tyler Brown Williams,5xI8nUpNVKFiyrmcq4l9s7,32.0,[indiecoustica],Secret Place,4dwbTOA0rXRo3a7EjAxEgZ,Secret Place,6Zszh0Aw7TvmxSJzlkDP2K,7.0,0.528,0.654,4.0,-8.269,1.0,0.0256,0.0024,0.546,0.147,0.54,148.004,232320.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Tyler Brown WilliamsSecret Place
By The Coast,2iewjEprGDCLtGNGLHSdqm,39.0,[unknown],You,6W7ekW1v9CXxa33uhb1xp2,I'll Get You Home,6KktID56invz2PcbzFW9CQ,35.0,0.192,0.274,3.0,-12.082,1.0,0.037,0.89,0.00239,0.119,0.128,67.839,218733.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,By The CoastI'll Get You Home
By The Coast,2iewjEprGDCLtGNGLHSdqm,39.0,[unknown],Magic,3gWbqEwpJXg7K5K48xND1l,Magic,0hyoI0zCyyvaT6Y3zNQ7d9,14.0,0.477,0.51,3.0,-10.022,1.0,0.028,0.0897,0.549,0.0799,0.2,132.042,233467.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,By The CoastMagic
NIGHT TRAVELER,1Yybte8g5co6ZQaFZdhMQH,40.0,[hopebeat],Put Your Money on Me,74O1pVSvxRUw7rfsXbBCVA,Put Your Money on Me,0tRPflTPIazpnIXD3YicGm,0.0,0.489,0.791,0.0,-7.524,1.0,0.0885,0.00255,0.166,0.0592,0.325,168.951,203600.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,NIGHT TRAVELERPut Your Money on Me
The Money War,1LdzcIIX3MSUbBMEII6rCO,19.0,[australian indie rock],Lifetime,4583I1fJMg7zKCf5qWFm0w,Lifetime,6Km8FymHq42NFlfI41hIaG,10.0,0.656,0.8,0.0,-5.637,1.0,0.0321,0.42,0.000157,0.119,0.662,110.012,192599.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,The Money WarLifetime
Tenderfoot,0cAed9YivTN7Yq2BnjRNyt,18.0,[australian americana],To Be Young,3lXYDEXGf78jrHbshOeTsX,The Balance,2XiG3vwQdkadUXNOBTmIoz,9.0,0.639,0.455,10.0,-10.813,0.0,0.0308,0.0113,0.00614,0.162,0.309,79.984,232503.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,TenderfootThe Balance
By The Coast,2iewjEprGDCLtGNGLHSdqm,39.0,[unknown],I Want You Close,17lj2byPju1Xj8frRK0aTz,I Want You Close,2N4Sf2pLVA2bMuMDm8bgHe,20.0,0.371,0.474,2.0,-10.561,1.0,0.0333,0.233,0.0562,0.0966,0.212,176.119,266203.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,By The CoastI Want You Close
NIGHT TRAVELER,1Yybte8g5co6ZQaFZdhMQH,40.0,[hopebeat],I Still Love You,4JltolZJTM8Yf4xejcD2F6,I Still Love You,1eUJCfwGlCuKkcf2D8upqK,0.0,0.537,0.653,5.0,-7.404,1.0,0.0303,0.00809,0.00541,0.0878,0.237,141.967,308267.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,NIGHT TRAVELERI Still Love You
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock / Alt Compilation: September 2020,1YzkcIikSojUP6O0It5YK7,Keep Me Close,1Pn38yfHLUSUKVayZHfrI8,0.0,0.616,0.751,0.0,-7.484,1.0,0.0361,0.00392,0.0127,0.104,0.594,99.987,226747.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsKeep Me Close
LANY,49tQo2QULno7gxHutgccqF,76.0,"[la pop, pop]",you!,5Ob72SRWEGd36eRlASw6k2,you!,4lSMKPkbZOAYPw3zxJ2eAF,0.0,0.5,0.635,10.0,-7.53,1.0,0.0253,0.00648,0.00508,0.126,0.276,94.0,274013.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,LANYyou!
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Pop / Folk Compilation - October 2020,7ugSPRWCDJMRSqoRMTyD3b,Freeway,0VTTE85F7sxvCKPDg8UDLQ,0.0,0.563,0.707,6.0,-10.829,0.0,0.0798,0.618,5.73e-05,0.113,0.581,161.008,310307.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,Various ArtistsFreeway
Kinn,09qJ9dcanr8ZWQpnWdkViV,15.0,[unknown],Glory Days,0uby3K9tbQ5Vw6kJAXZMd1,Glory Days,41j1FugKhrwRlI8hbTilUn,7.0,0.486,0.602,2.0,-5.006,1.0,0.0275,0.0471,0.00125,0.07,0.186,98.062,219831.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,KinnGlory Days
Siiga,0clzNEJT9mlytQHxiXV1AH,15.0,[unknown],La Luna,1p7UKtIZb2P2wSw7363dAE,La Luna,5BaIqlxJzTSQE8mZ9N1k5F,7.0,0.487,0.727,1.0,-8.38,1.0,0.0339,0.0491,0.817,0.0668,0.468,99.037,261267.0,4.0,night drive. 🌃 - An Indie/Alternative Playlist,alexrainbirdMusic,SiigaLa Luna
